make: Nothing to be done for 'build'.
Vector Length;NumGangs;Grid Size;Total Alive Cells;Total Execution Time
256;9216;16384;100584758;0.006328
256;9216;32768;402481820;0.024484
256;10240;128;5902;0.000127
256;10240;256;24387;0.000170
256;10240;512;98628;0.000247
256;10240;1024;397832;0.000406
256;10240;2048;1562036;0.000721
256;10240;4096;6232877;0.001360
256;10240;8192;24824799;0.002637
256;10240;16384;100584758;0.006322
256;10240;32768;402481820;0.024465
384;1024;128;5902;0.000105
384;1024;256;24387;0.000149
384;1024;512;98628;0.000225
384;1024;1024;397832;0.000384
384;1024;2048;1562036;0.000703
384;1024;4096;6232877;0.001343
384;1024;8192;24824799;0.002608
384;1024;16384;100584758;0.006373
384;1024;32768;402481820;0.025244
384;2048;128;5902;0.000107
384;2048;256;24387;0.000151
384;2048;512;98628;0.000229
384;2048;1024;397832;0.000388
384;2048;2048;1562036;0.000708
384;2048;4096;6232877;0.001347
384;2048;8192;24824799;0.002611
384;2048;16384;100584758;0.006374
384;2048;32768;402481820;0.025279
384;3072;128;5902;0.000109
384;3072;256;24387;0.000154
384;3072;512;98628;0.000232
384;3072;1024;397832;0.000387
384;3072;2048;1562036;0.000704
384;3072;4096;6232877;0.001342
384;3072;8192;24824799;0.002602
384;3072;16384;100584758;0.006314
384;3072;32768;402481820;0.024455
384;4096;128;5902;0.000112
384;4096;256;24387;0.000156
384;4096;512;98628;0.000234
384;4096;1024;397832;0.000389
384;4096;2048;1562036;0.000706
384;4096;4096;6232877;0.001346
384;4096;8192;24824799;0.002602
384;4096;16384;100584758;0.006307
384;4096;32768;402481820;0.024462
384;5120;128;5902;0.000115
384;5120;256;24387;0.000158
384;5120;512;98628;0.000237
384;5120;1024;397832;0.000393
384;5120;2048;1562036;0.000708
384;5120;4096;6232877;0.001345
384;5120;8192;24824799;0.002605
384;5120;16384;100584758;0.006314
384;5120;32768;402481820;0.024457
384;6144;128;5902;0.000117
384;6144;256;24387;0.000160
384;6144;512;98628;0.000237
384;6144;1024;397832;0.000396
384;6144;2048;1562036;0.000711
384;6144;4096;6232877;0.001349
384;6144;8192;24824799;0.002609
384;6144;16384;100584758;0.006314
384;6144;32768;402481820;0.024443
384;7168;128;5902;0.000120
384;7168;256;24387;0.000163
384;7168;512;98628;0.000240
384;7168;1024;397832;0.000400
384;7168;2048;1562036;0.000714
384;7168;4096;6232877;0.001350
384;7168;8192;24824799;0.002632
384;7168;16384;100584758;0.006320
384;7168;32768;402481820;0.024488
384;8192;128;5902;0.000121
384;8192;256;24387;0.000167
384;8192;512;98628;0.000242
384;8192;1024;397832;0.000401
384;8192;2048;1562036;0.000718
384;8192;4096;6232877;0.001355
384;8192;8192;24824799;0.002614
384;8192;16384;100584758;0.006321
384;8192;32768;402481820;0.024458
384;9216;128;5902;0.000125
384;9216;256;24387;0.000168
384;9216;512;98628;0.000244
384;9216;1024;397832;0.000403
384;9216;2048;1562036;0.000718
384;9216;4096;6232877;0.001355
384;9216;8192;24824799;0.002639
384;9216;16384;100584758;0.006318
384;9216;32768;402481820;0.024470
384;10240;128;5902;0.000127
384;10240;256;24387;0.000170
384;10240;512;98628;0.000247
384;10240;1024;397832;0.000406
384;10240;2048;1562036;0.000721
384;10240;4096;6232877;0.001360
384;10240;8192;24824799;0.002617
384;10240;16384;100584758;0.006315
384;10240;32768;402481820;0.024472
512;1024;128;5902;0.000105
512;1024;256;24387;0.000148
512;1024;512;98628;0.000226
512;1024;1024;397832;0.000385
512;1024;2048;1562036;0.000703
512;1024;4096;6232877;0.001344
512;1024;8192;24824799;0.002627
512;1024;16384;100584758;0.006362
512;1024;32768;402481820;0.025243
512;2048;128;5902;0.000107
512;2048;256;24387;0.000150
512;2048;512;98628;0.000229
512;2048;1024;397832;0.000386
512;2048;2048;1562036;0.000706
512;2048;4096;6232877;0.001345
512;2048;8192;24824799;0.002627
512;2048;16384;100584758;0.006364
512;2048;32768;402481820;0.025252
512;3072;128;5902;0.000110
512;3072;256;24387;0.000153
512;3072;512;98628;0.000230
512;3072;1024;397832;0.000388
512;3072;2048;1562036;0.000704
512;3072;4096;6232877;0.001341
512;3072;8192;24824799;0.002618
512;3072;16384;100584758;0.006299
512;3072;32768;402481820;0.024456
512;4096;128;5902;0.000111
512;4096;256;24387;0.000155
512;4096;512;98628;0.000231
512;4096;1024;397832;0.000391
512;4096;2048;1562036;0.000706
512;4096;4096;6232877;0.001370
512;4096;8192;24824799;0.002603
512;4096;16384;100584758;0.006302
512;4096;32768;402481820;0.024465
512;5120;128;5902;0.000114
512;5120;256;24387;0.000158
512;5120;512;98628;0.000235
512;5120;1024;397832;0.000393
512;5120;2048;1562036;0.000710
512;5120;4096;6232877;0.001348
512;5120;8192;24824799;0.002605
512;5120;16384;100584758;0.006306
512;5120;32768;402481820;0.024447
512;6144;128;5902;0.000116
512;6144;256;24387;0.000160
512;6144;512;98628;0.000237
512;6144;1024;397832;0.000396
512;6144;2048;1562036;0.000712
512;6144;4096;6232877;0.001350
512;6144;8192;24824799;0.002609
512;6144;16384;100584758;0.006313
512;6144;32768;402481820;0.024460
512;7168;128;5902;0.000118
512;7168;256;24387;0.000162
512;7168;512;98628;0.000239
512;7168;1024;397832;0.000397
512;7168;2048;1562036;0.000714
512;7168;4096;6232877;0.001353
512;7168;8192;24824799;0.002611
512;7168;16384;100584758;0.006323
512;7168;32768;402481820;0.024466
512;8192;128;5902;0.000122
512;8192;256;24387;0.000164
512;8192;512;98628;0.000242
512;8192;1024;397832;0.000401
512;8192;2048;1562036;0.000718
512;8192;4096;6232877;0.001353
512;8192;8192;24824799;0.002613
512;8192;16384;100584758;0.006321
512;8192;32768;402481820;0.024456
512;9216;128;5902;0.000124
512;9216;256;24387;0.000167
512;9216;512;98628;0.000245
512;9216;1024;397832;0.000403
512;9216;2048;1562036;0.000719
512;9216;4096;6232877;0.001355
512;9216;8192;24824799;0.002616
512;9216;16384;100584758;0.006325
512;9216;32768;402481820;0.024467
512;10240;128;5902;0.000127
512;10240;256;24387;0.000169
512;10240;512;98628;0.000247
512;10240;1024;397832;0.000405
512;10240;2048;1562036;0.000721
512;10240;4096;6232877;0.001355
512;10240;8192;24824799;0.002620
512;10240;16384;100584758;0.006320
512;10240;32768;402481820;0.024469
640;1024;128;5902;0.000104
640;1024;256;24387;0.000149
640;1024;512;98628;0.000225
640;1024;1024;397832;0.000386
640;1024;2048;1562036;0.000704
640;1024;4096;6232877;0.001342
640;1024;8192;24824799;0.002627
640;1024;16384;100584758;0.006371
640;1024;32768;402481820;0.025263
