# Blocks, # Threads, Sync. time, Async. time
1001,601,11.82,0.11
1001,601,11.98,0.10
1001,601,11.72,0.10
1001,601,12.69,0.10
1001,601,11.77,0.10
1001,651,11.90,0.10
1001,651,11.72,0.10
1001,651,11.79,0.10
1001,651,11.71,0.10
1001,651,11.74,0.10
1001,651,11.91,0.10
1001,651,12.17,0.10
1001,651,11.91,0.10
1001,651,11.73,0.10
1001,651,11.79,0.10
1001,701,11.70,0.10
1001,701,12.02,0.10
1001,701,12.01,0.10
1001,701,11.72,0.10
1001,701,11.83,0.10
1001,701,11.76,0.10
1001,701,11.87,0.10
1001,701,11.86,0.10
1001,701,11.79,0.11
1001,701,11.86,0.11
1001,751,12.03,0.10
1001,751,11.94,0.10
1001,751,11.68,0.10
1001,751,11.83,0.10
1001,751,11.96,0.10
1001,751,11.77,0.10
1001,751,11.73,0.10
1001,751,11.66,0.10
1001,751,11.85,0.10
1001,751,12.12,0.10
1001,801,11.74,0.10
1001,801,11.73,0.10
1001,801,11.72,0.10
1001,801,11.88,0.10
1001,801,11.84,0.10
1001,801,11.92,0.10
1001,801,11.71,0.10
1001,801,12.03,0.10
1001,801,12.34,0.10
1001,801,11.75,0.10
1001,851,12.73,0.10
1001,851,11.76,0.10
1001,851,11.74,0.10
1001,851,11.83,0.10
1001,851,12.20,0.10
1001,851,11.83,0.10
1001,851,11.84,0.10
1001,851,11.94,0.10
1001,851,11.80,0.10
1001,851,11.86,0.10
1001,901,11.71,0.10
1001,901,11.87,0.10
1001,901,11.77,0.10
1001,901,12.99,0.10
1001,901,11.78,0.10
1001,901,11.86,0.10
1001,901,11.78,0.10
1001,901,12.04,0.10
1001,901,11.74,0.10
1001,901,11.76,0.10
1001,951,11.76,0.10
1001,951,12.86,0.10
1001,951,11.72,0.10
1001,951,11.82,0.10
1001,951,11.72,0.10
1001,951,12.17,0.10
1001,951,11.92,0.10
1001,951,12.01,0.10
1001,951,11.85,0.10
1001,951,12.49,0.10
1001,1001,11.77,0.10
1001,1001,11.97,0.10
1001,1001,12.04,0.10
1001,1001,11.76,0.10
1001,1001,11.65,0.10
1001,1001,11.78,0.10
1001,1001,11.76,0.10
1001,1001,11.91,0.10
1001,1001,11.96,0.10
1001,1001,11.72,0.10
2001,1,11.80,0.10
2001,1,11.73,0.10
2001,1,11.85,0.10
2001,1,11.90,0.10
2001,1,11.75,0.10
2001,1,11.89,0.10
2001,1,11.97,0.10
2001,1,11.80,0.10
2001,1,11.76,0.10
2001,1,11.67,0.10
2001,51,11.96,0.10
2001,51,11.88,0.10
2001,51,12.07,0.10
2001,51,12.74,0.10
2001,51,11.85,0.10
2001,51,11.75,0.10
2001,51,12.50,0.10
2001,51,12.60,0.10
2001,51,12.17,0.10
2001,51,12.09,0.10
2001,101,11.72,0.10
2001,101,12.58,0.10
2001,101,11.87,0.10
2001,101,11.98,0.10
2001,101,12.09,0.10
2001,101,11.85,0.10
2001,101,12.71,0.10
2001,101,11.80,0.10
2001,101,11.86,0.10
2001,101,11.79,0.10
2001,151,12.56,0.10
2001,151,11.77,0.10
2001,151,11.68,0.10
2001,151,11.80,0.11
2001,151,11.71,0.10
2001,151,11.72,0.10
2001,151,11.76,0.10
2001,151,11.75,0.10
2001,151,11.69,0.10
2001,151,12.66,0.10
2001,201,11.80,0.10
2001,201,11.78,0.10
2001,201,11.83,0.10
2001,201,11.66,0.10
2001,201,12.18,0.10
2001,201,11.76,0.10
2001,201,11.92,0.10
2001,201,11.72,0.10
2001,201,11.84,0.10
2001,201,11.72,0.10
2001,251,12.24,0.10
2001,251,11.70,0.10
2001,251,11.69,0.10
2001,251,11.87,0.10
2001,251,11.75,0.10
2001,251,11.98,0.10
2001,251,11.92,0.10
2001,251,11.80,0.10
2001,251,11.70,0.10
2001,251,11.78,0.10
2001,301,11.75,0.10
2001,301,12.72,0.10
2001,301,12.00,0.10
2001,301,11.89,0.10
2001,301,11.75,0.10
2001,301,12.62,0.10
2001,301,11.80,0.10
2001,301,11.81,0.10
2001,301,11.78,0.10
2001,301,11.67,0.10
2001,351,11.73,0.10
2001,351,12.61,0.10
2001,351,12.69,0.10
2001,351,11.88,0.10
2001,351,11.94,0.10
2001,351,11.70,0.10
2001,351,11.86,0.10
2001,351,11.90,0.10
2001,351,12.59,0.10
2001,351,11.77,0.11
2001,401,12.21,0.10
2001,401,11.88,0.10
2001,401,11.75,0.16
2001,401,11.75,0.10
2001,401,11.79,0.10
2001,401,11.91,0.10
2001,401,11.78,0.10
2001,401,11.75,0.10
2001,401,11.91,0.10
2001,401,12.08,0.10
2001,451,11.70,0.10
2001,451,11.78,0.10
2001,451,11.81,0.10
2001,451,11.75,0.10
2001,451,11.95,0.10
2001,451,11.84,0.10
2001,451,11.70,0.10
2001,451,11.73,0.10
2001,451,13.02,0.10
2001,451,11.89,0.10
2001,501,11.71,0.10
2001,501,11.72,0.10
2001,501,12.98,0.10
2001,501,11.71,0.10
2001,501,12.62,0.10
2001,501,11.94,0.10
2001,501,11.90,0.10
2001,501,11.84,0.10
2001,501,11.77,0.10
2001,501,12.19,0.10
2001,551,11.94,0.10
2001,551,11.81,0.10
2001,551,11.90,0.10
2001,551,11.68,0.10
2001,551,11.89,0.10
2001,551,11.78,0.10
2001,551,11.75,0.09
2001,551,11.95,0.10
2001,551,11.91,0.10
2001,551,11.81,0.10
2001,601,12.60,0.10
2001,601,11.90,0.10
2001,601,12.02,0.10
2001,601,12.82,0.10
2001,601,11.69,0.11
2001,601,11.81,0.10
2001,601,11.75,0.10
2001,601,11.90,0.10
2001,601,12.17,0.10
2001,601,11.86,0.10
2001,651,11.80,0.10
2001,651,12.06,0.10
2001,651,11.91,0.10
2001,651,11.78,0.10
2001,651,11.70,0.21
2001,651,11.73,0.10
2001,651,11.85,0.10
2001,651,11.97,0.10
2001,651,11.77,0.10
2001,651,11.76,0.10
2001,701,11.75,0.10
2001,701,11.89,0.10
2001,701,11.74,0.10
2001,701,11.93,0.10
2001,701,11.79,0.10
2001,701,11.81,0.10
2001,701,11.78,0.10
2001,701,11.74,0.10
2001,701,11.85,0.10
2001,701,11.74,0.10
2001,751,11.80,0.10
2001,751,11.71,0.10
2001,751,11.80,0.10
2001,751,12.85,0.10
2001,751,11.71,0.10
2001,751,11.73,0.10
2001,751,11.73,0.10
2001,751,11.62,0.10
2001,751,11.77,0.10
2001,751,12.05,0.10
2001,801,11.97,0.10
2001,801,12.65,0.10
2001,801,11.87,0.10
2001,801,12.24,0.10
2001,801,12.06,0.10
2001,801,11.85,0.10
2001,801,11.75,0.10
2001,801,11.72,0.09
2001,801,11.90,0.10
2001,801,12.53,0.10
2001,851,11.77,0.10
2001,851,11.71,0.10
2001,851,11.92,0.10
2001,851,11.75,0.10
2001,851,11.73,0.10
2001,851,11.73,0.10
2001,851,11.78,0.10
2001,851,11.77,0.10
2001,851,12.05,0.10
2001,851,11.95,0.10
2001,901,11.92,0.10
2001,901,11.72,0.10
2001,901,11.69,0.10
2001,901,12.82,0.10
2001,901,11.96,0.10
2001,901,11.89,0.10
2001,901,11.73,0.10
2001,901,11.84,0.10
2001,901,11.77,0.10
2001,901,11.95,0.10
2001,951,12.03,0.10
2001,951,11.90,0.10
2001,951,11.56,0.10
2001,951,11.99,0.10
2001,951,11.75,0.10
2001,951,11.70,0.10
2001,951,12.65,0.11
2001,951,11.91,0.10
2001,951,11.88,0.10
2001,951,11.81,0.10
2001,1001,11.89,0.10
2001,1001,11.76,0.10
2001,1001,11.79,0.10
2001,1001,11.73,0.10
2001,1001,11.94,0.10
2001,1001,11.70,0.10
2001,1001,11.72,0.10
2001,1001,12.59,0.12
2001,1001,11.79,0.10
2001,1001,11.94,0.10
3001,1,11.71,0.10
3001,1,11.87,0.10
3001,1,11.78,0.10
3001,1,11.62,0.10
3001,1,12.03,0.10
3001,1,11.77,0.10
3001,1,11.72,0.10
3001,1,11.71,0.10
3001,1,12.70,0.10
3001,1,11.77,0.10
3001,51,12.10,0.10
3001,51,11.91,0.10
3001,51,11.65,0.10
3001,51,12.05,0.10
3001,51,11.71,0.10
3001,51,12.06,0.10
3001,51,11.75,0.10
3001,51,11.77,0.10
3001,51,12.07,0.10
3001,51,11.94,0.10
3001,101,11.82,0.10
3001,101,11.72,0.10
3001,101,11.80,0.10
3001,101,11.89,0.10
3001,101,11.73,0.10
3001,101,11.80,0.10
3001,101,11.67,0.10
3001,101,11.74,0.10
3001,101,11.84,0.10
3001,101,11.77,0.10
3001,151,11.95,0.10
3001,151,11.81,0.10
3001,151,11.81,0.10
3001,151,12.61,0.10
3001,151,11.93,0.10
3001,151,11.80,0.10
3001,151,12.07,0.10
3001,151,11.87,0.10
3001,151,11.82,0.10
3001,151,12.70,0.10
3001,201,11.76,0.10
3001,201,11.76,0.11
3001,201,12.20,0.10
3001,201,12.83,0.10
3001,201,11.82,0.10
3001,201,11.93,0.10
3001,201,11.75,0.10
3001,201,12.55,0.10
3001,201,11.87,0.10
3001,201,11.77,0.10
3001,251,11.69,0.10
3001,251,11.74,0.10
3001,251,11.84,0.10
3001,251,11.77,0.10
3001,251,11.71,0.10
3001,251,11.73,0.10
3001,251,11.86,0.10
3001,251,11.80,0.11
3001,251,11.78,0.10
3001,251,11.74,0.16
3001,301,11.66,0.10
3001,301,12.51,0.10
3001,301,11.89,0.10
3001,301,11.75,0.10
3001,301,11.77,0.10
3001,301,11.77,0.10
3001,301,11.75,0.10
3001,301,11.66,0.10
3001,301,12.02,0.10
3001,301,11.73,0.10
3001,351,11.80,0.10
3001,351,11.79,0.10
3001,351,11.71,0.10
3001,351,11.91,0.10
3001,351,11.89,0.12
3001,351,11.68,0.10
3001,351,11.80,0.10
3001,351,11.89,0.10
3001,351,11.69,0.10
3001,351,11.67,0.10
3001,401,12.13,0.10
3001,401,11.83,0.10
3001,401,11.69,0.10
3001,401,12.04,0.10
3001,401,12.04,0.10
3001,401,11.68,0.10
3001,401,11.77,0.10
3001,401,12.17,0.10
3001,401,11.71,0.10
3001,401,11.73,0.10
3001,451,11.92,0.10
3001,451,11.78,0.10
3001,451,12.10,0.10
3001,451,12.70,0.10
3001,451,12.00,0.10
3001,451,11.67,0.10
3001,451,11.81,0.10
3001,451,11.83,0.10
3001,451,11.78,0.10
3001,451,11.84,0.10
3001,501,11.78,0.10
3001,501,11.89,0.10
3001,501,11.76,0.10
3001,501,11.85,0.10
3001,501,11.85,0.10
3001,501,12.78,0.10
3001,501,12.94,0.10
3001,501,11.83,0.26
3001,501,11.88,0.10
3001,501,11.80,0.10
3001,551,12.22,0.10
3001,551,11.81,0.10
3001,551,11.78,0.10
3001,551,12.22,0.10
3001,551,11.88,0.10
3001,551,11.71,0.10
3001,551,11.87,0.10
3001,551,11.96,0.10
3001,551,12.08,0.10
3001,551,11.72,0.10
3001,601,11.96,0.10
3001,601,11.88,0.10
3001,601,11.74,0.10
3001,601,12.06,0.12
3001,601,11.75,0.10
3001,601,11.73,0.10
3001,601,11.71,0.10
3001,601,11.87,0.10
3001,601,11.98,0.10
3001,601,11.76,0.10
3001,651,11.73,0.10
3001,651,12.09,0.10
3001,651,11.79,0.10
3001,651,11.90,0.10
3001,651,11.88,0.10
3001,651,11.76,0.10
3001,651,12.90,0.10
3001,651,11.76,0.10
3001,651,11.73,0.10
3001,651,11.82,0.10
3001,701,11.84,0.12
3001,701,11.76,0.10
3001,701,11.75,0.10
3001,701,13.13,0.10
3001,701,11.72,0.10
3001,701,11.72,0.10
3001,701,12.08,0.10
3001,701,11.88,0.10
3001,701,11.71,0.10
3001,701,12.00,0.18
3001,751,11.80,0.10
3001,751,11.93,0.10
3001,751,11.82,0.10
3001,751,12.25,0.10
3001,751,11.97,0.10
3001,751,11.78,0.10
3001,751,11.92,0.10
3001,751,11.79,0.10
3001,751,11.92,0.10
3001,751,11.63,0.10
3001,801,12.55,0.10
3001,801,12.91,0.10
3001,801,12.07,0.10
3001,801,11.78,0.10
3001,801,11.74,0.10
3001,801,11.89,0.10
3001,801,11.77,0.10
3001,801,11.75,0.10
3001,801,11.74,0.10
3001,801,11.72,0.10
3001,851,11.98,0.10
3001,851,11.66,0.10
3001,851,11.83,0.10
3001,851,11.63,0.10
3001,851,11.88,0.10
3001,851,11.75,0.10
3001,851,11.71,0.10
3001,851,11.75,0.10
3001,851,11.75,0.10
3001,851,11.82,0.10
3001,901,11.86,0.10
3001,901,11.75,0.10
3001,901,11.78,0.10
3001,901,11.91,0.10
3001,901,12.15,0.10
3001,901,11.65,0.10
3001,901,11.84,0.10
3001,901,11.70,0.10
3001,901,11.73,0.10
3001,901,11.79,0.10
3001,951,11.75,0.10
3001,951,11.94,0.10
3001,951,11.72,0.10
3001,951,12.57,0.10
3001,951,11.65,0.10
3001,951,11.69,0.10
3001,951,12.55,0.10
3001,951,11.74,0.10
3001,951,11.89,0.10
3001,951,11.76,0.10
3001,1001,11.77,0.10
3001,1001,11.85,0.10
3001,1001,11.83,0.10
3001,1001,11.66,0.10
3001,1001,11.75,0.10
3001,1001,11.76,0.10
3001,1001,12.00,0.10
3001,1001,11.70,0.10
3001,1001,11.78,0.10
3001,1001,11.72,0.10
4001,1,11.93,0.10
4001,1,11.75,0.10
4001,1,11.67,0.10
4001,1,12.59,0.10
4001,1,12.19,0.10
4001,1,11.67,0.10
4001,1,11.73,0.10
4001,1,12.26,0.10
4001,1,11.83,0.10
4001,1,11.80,0.10
4001,51,11.75,0.10
4001,51,11.98,0.10
4001,51,11.85,0.10
4001,51,11.71,0.10
4001,51,12.02,0.10
4001,51,11.81,0.10
4001,51,11.81,0.10
4001,51,11.79,0.10
4001,51,11.92,0.10
4001,51,11.83,0.10
4001,101,11.79,0.10
4001,101,11.63,0.10
4001,101,11.75,0.12
4001,101,11.85,0.10
4001,101,11.73,0.10
4001,101,11.86,0.10
4001,101,11.75,0.10
4001,101,11.85,0.10
4001,101,11.73,0.10
4001,101,11.85,0.10
4001,151,11.73,0.10
4001,151,11.95,0.10
4001,151,11.84,0.10
4001,151,11.93,0.11
4001,151,11.87,0.10
4001,151,12.00,0.10
4001,151,11.79,0.10
4001,151,11.98,0.10
4001,151,12.36,0.10
4001,151,11.88,0.10
4001,201,11.85,0.10
4001,201,12.96,0.10
4001,201,12.83,0.10
4001,201,11.71,0.10
4001,201,11.73,0.10
4001,201,11.67,0.11
4001,201,11.77,0.17
4001,201,11.87,0.10
4001,201,11.78,0.10
4001,201,12.62,0.10
4001,251,11.82,0.10
4001,251,12.68,0.10
4001,251,12.01,0.10
4001,251,11.97,0.10
4001,251,11.95,0.11
4001,251,11.71,0.10
4001,251,11.77,0.10
4001,251,11.71,0.10
4001,251,11.83,0.10
4001,251,12.65,0.10
4001,301,12.78,0.10
4001,301,12.00,0.10
4001,301,11.83,0.10
4001,301,11.81,0.10
4001,301,11.79,0.10
4001,301,11.76,0.10
4001,301,11.80,0.10
4001,301,11.90,0.10
4001,301,11.81,0.10
4001,301,11.82,0.10
4001,351,11.84,0.10
4001,351,11.89,0.10
4001,351,11.85,0.10
4001,351,11.82,0.10
4001,351,11.94,0.10
4001,351,11.77,0.10
4001,351,11.74,0.10
4001,351,11.62,0.10
4001,351,11.78,0.10
4001,351,11.84,0.10
4001,401,11.90,0.10
4001,401,11.92,0.10
4001,401,11.71,0.10
4001,401,11.68,0.10
4001,401,11.70,0.10
4001,401,11.92,0.10
4001,401,11.77,0.10
4001,401,11.98,0.10
4001,401,11.83,0.10
4001,401,11.73,0.10
4001,451,12.69,0.10
4001,451,11.75,0.10
4001,451,11.71,0.10
4001,451,11.79,0.10
4001,451,11.76,0.10
4001,451,12.15,0.10
4001,451,11.75,0.10
4001,451,11.71,0.10
4001,451,11.72,0.10
4001,451,11.72,0.10
4001,501,11.76,0.10
4001,501,11.74,0.10
4001,501,11.85,0.10
4001,501,11.81,0.10
4001,501,11.73,0.10
4001,501,11.84,0.10
4001,501,11.79,0.10
4001,501,11.86,0.10
4001,501,12.01,0.10
4001,501,11.67,0.10
4001,551,11.66,0.10
4001,551,11.76,0.10
4001,551,11.70,0.10
4001,551,11.77,0.10
4001,551,11.75,0.10
4001,551,12.65,0.10
4001,551,12.09,0.10
4001,551,11.80,0.10
4001,551,11.73,0.10
4001,551,11.77,0.10
4001,601,11.79,0.10
4001,601,11.72,0.10
4001,601,12.02,0.10
4001,601,12.07,0.10
4001,601,11.98,0.10
4001,601,11.74,0.10
4001,601,11.74,0.10
4001,601,11.81,0.10
4001,601,11.75,0.10
4001,601,11.86,0.10
4001,651,11.84,0.10
4001,651,11.83,0.10
4001,651,12.05,0.10
4001,651,11.73,0.16
4001,651,11.72,0.10
4001,651,11.68,0.10
4001,651,11.79,0.10
4001,651,12.64,0.10
4001,651,11.82,0.10
4001,651,11.72,0.10
4001,701,11.90,0.10
4001,701,11.73,0.10
4001,701,11.75,0.10
4001,701,11.71,0.10
4001,701,11.65,0.10
4001,701,11.69,0.10
4001,701,12.08,0.10
4001,701,11.71,0.10
4001,701,11.94,0.10
4001,701,12.28,0.10
4001,751,11.68,0.10
4001,751,11.92,0.10
4001,751,11.92,0.10
4001,751,11.72,0.10
4001,751,12.59,0.10
4001,751,11.75,0.10
4001,751,11.75,0.10
4001,751,11.99,0.10
4001,751,12.60,0.10
4001,751,11.83,0.10
4001,801,11.83,0.10
4001,801,11.74,0.10
4001,801,11.80,0.10
4001,801,11.73,0.10
4001,801,11.86,0.10
4001,801,11.78,0.10
4001,801,11.95,0.10
4001,801,12.62,0.10
4001,801,11.71,0.10
4001,801,11.80,0.10
4001,851,11.84,0.10
4001,851,11.81,0.10
4001,851,11.78,0.10
4001,851,12.60,0.10
4001,851,11.71,0.10
4001,851,11.81,0.10
4001,851,11.73,0.10
4001,851,11.70,0.16
4001,851,11.80,0.10
4001,851,11.90,0.10
4001,901,11.93,0.10
4001,901,11.80,0.10
4001,901,11.71,0.10
4001,901,11.77,0.10
4001,901,12.05,0.10
4001,901,11.78,0.10
4001,901,12.06,0.10
4001,901,11.77,0.10
4001,901,11.73,0.10
4001,901,11.75,0.10
4001,951,11.76,0.10
4001,951,11.72,0.10
4001,951,11.89,0.10
4001,951,11.96,0.10
4001,951,11.87,0.10
4001,951,11.86,0.10
4001,951,11.67,0.10
4001,951,11.73,0.10
4001,951,11.85,0.10
4001,951,12.05,0.10
4001,1001,12.58,0.10
4001,1001,11.76,0.10
4001,1001,11.75,0.10
4001,1001,11.82,0.10
4001,1001,12.08,0.10
4001,1001,11.80,0.10
4001,1001,11.78,0.10
4001,1001,11.79,0.10
4001,1001,11.83,0.10
4001,1001,11.68,0.10
5001,1,12.16,0.10
5001,1,11.83,0.10
5001,1,11.75,0.10
5001,1,11.74,0.10
5001,1,11.73,0.10
5001,1,11.77,0.10
5001,1,11.84,0.10
5001,1,11.69,0.10
5001,1,12.12,0.10
5001,1,11.76,0.10
5001,51,11.77,0.10
5001,51,11.73,0.10
5001,51,11.74,0.10
5001,51,11.74,0.10
5001,51,11.68,0.10
5001,51,12.16,0.10
5001,51,11.83,0.10
5001,51,12.06,0.10
5001,51,11.75,0.10
5001,51,11.71,0.10
5001,101,11.71,0.10
5001,101,11.77,0.10
5001,101,12.05,0.10
5001,101,11.80,0.10
5001,101,11.78,0.10
5001,101,11.76,0.10
5001,101,11.73,0.10
5001,101,11.83,0.10
5001,101,11.67,0.10
5001,101,11.79,0.10
5001,151,12.00,0.10
5001,151,11.83,0.10
5001,151,11.74,0.10
5001,151,11.72,0.10
