TRA,4,0.01,3,6,8000,1.991
TRA,4,0.01,3,6,10000,1.987
TRA,4,0.01,3,6,12000,1.98
TRA,4,0.01,4,6,2000,1.951
TRA,4,0.01,4,6,4000,1.98
TRA,4,0.01,4,6,6000,1.979
TRA,4,0.01,4,6,8000,1.997
TRA,4,0.01,4,6,10000,1.944
TRA,4,0.01,4,6,12000,1.963
TRA,4,0.01,5,6,2000,1.971
TRA,4,0.01,5,6,4000,1.98
TRA,4,0.01,5,6,6000,1.977
TRA,4,0.01,5,6,8000,1.986
TRA,4,0.01,5,6,10000,1.984
TRA,4,0.01,5,6,12000,1.971
TRA,4,0.01,6,6,2000,2.026
TRA,4,0.01,6,6,4000,1.967
TRA,4,0.01,6,6,6000,1.953
TRA,4,0.01,6,6,8000,1.986
TRA,4,0.01,6,6,10000,1.969
TRA,4,0.01,6,6,12000,2.03
TRA_TIM,4,0.01,6,6,303.35,
TST,4,0.01,6,6,26.75,3.29
TRA,4,0.001,1,2,2000,2.189
TRA,4,0.001,1,2,4000,1.876
TRA,4,0.001,1,2,6000,1.675
TRA,4,0.001,1,2,8000,1.591
TRA,4,0.001,1,2,10000,1.505
TRA,4,0.001,1,2,12000,1.45
TRA,4,0.001,2,2,2000,1.392
TRA,4,0.001,2,2,4000,1.347
TRA,4,0.001,2,2,6000,1.34
TRA,4,0.001,2,2,8000,1.3
TRA,4,0.001,2,2,10000,1.277
TRA,4,0.001,2,2,12000,1.261
TRA_TIM,4,0.001,2,2,102.57,
TST,4,0.001,2,2,57.1,4.46
TRA,4,0.001,1,4,2000,2.251
TRA,4,0.001,1,4,4000,1.968
TRA,4,0.001,1,4,6000,1.748
TRA,4,0.001,1,4,8000,1.623
TRA,4,0.001,1,4,10000,1.542
TRA,4,0.001,1,4,12000,1.482
TRA,4,0.001,2,4,2000,1.41
TRA,4,0.001,2,4,4000,1.39
TRA,4,0.001,2,4,6000,1.362
TRA,4,0.001,2,4,8000,1.342
TRA,4,0.001,2,4,10000,1.318
TRA,4,0.001,2,4,12000,1.299
TRA,4,0.001,3,4,2000,1.254
TRA,4,0.001,3,4,4000,1.223
TRA,4,0.001,3,4,6000,1.245
TRA,4,0.001,3,4,8000,1.221
TRA,4,0.001,3,4,10000,1.199
TRA,4,0.001,3,4,12000,1.203
TRA,4,0.001,4,4,2000,1.139
TRA,4,0.001,4,4,4000,1.128
TRA,4,0.001,4,4,6000,1.155
TRA,4,0.001,4,4,8000,1.138
TRA,4,0.001,4,4,10000,1.146
TRA,4,0.001,4,4,12000,1.137
TRA_TIM,4,0.001,4,4,204.3,
TST,4,0.001,4,4,58.36,4.36
TRA,4,0.001,1,6,2000,2.171
TRA,4,0.001,1,6,4000,1.877
TRA,4,0.001,1,6,6000,1.695
TRA,4,0.001,1,6,8000,1.59
TRA,4,0.001,1,6,10000,1.521
TRA,4,0.001,1,6,12000,1.483
TRA,4,0.001,2,6,2000,1.381
TRA,4,0.001,2,6,4000,1.344
TRA,4,0.001,2,6,6000,1.349
TRA,4,0.001,2,6,8000,1.311
TRA,4,0.001,2,6,10000,1.306
TRA,4,0.001,2,6,12000,1.268
TRA,4,0.001,3,6,2000,1.198
TRA,4,0.001,3,6,4000,1.194
TRA,4,0.001,3,6,6000,1.192
TRA,4,0.001,3,6,8000,1.179
TRA,4,0.001,3,6,10000,1.172
TRA,4,0.001,3,6,12000,1.158
TRA,4,0.001,4,6,2000,1.09
TRA,4,0.001,4,6,4000,1.085
TRA,4,0.001,4,6,6000,1.101
TRA,4,0.001,4,6,8000,1.1
TRA,4,0.001,4,6,10000,1.086
TRA,4,0.001,4,6,12000,1.095
TRA,4,0.001,5,6,2000,1.024
TRA,4,0.001,5,6,4000,1.013
TRA,4,0.001,5,6,6000,1.016
TRA,4,0.001,5,6,8000,1.053
TRA,4,0.001,5,6,10000,1.028
TRA,4,0.001,5,6,12000,1.029
TRA,4,0.001,6,6,2000,0.95
TRA,4,0.001,6,6,4000,0.975
TRA,4,0.001,6,6,6000,0.965
TRA,4,0.001,6,6,8000,0.983
TRA,4,0.001,6,6,10000,0.994
TRA,4,0.001,6,6,12000,0.983
TRA_TIM,4,0.001,6,6,300.1,
TST,4,0.001,6,6,61.69,4.09
TRA,4,0.0001,1,2,2000,2.305
TRA,4,0.0001,1,2,4000,2.302
TRA,4,0.0001,1,2,6000,2.299
TRA,4,0.0001,1,2,8000,2.293
TRA,4,0.0001,1,2,10000,2.281
TRA,4,0.0001,1,2,12000,2.231
TRA,4,0.0001,2,2,2000,2.109
TRA,4,0.0001,2,2,4000,2.055
TRA,4,0.0001,2,2,6000,1.993
TRA,4,0.0001,2,2,8000,1.962
TRA,4,0.0001,2,2,10000,1.907
TRA,4,0.0001,2,2,12000,1.881
TRA_TIM,4,0.0001,2,2,96.28,
TST,4,0.0001,2,2,34.08,5.01
TRA,4,0.0001,1,4,2000,2.304
TRA,4,0.0001,1,4,4000,2.302
TRA,4,0.0001,1,4,6000,2.3
TRA,4,0.0001,1,4,8000,2.297
TRA,4,0.0001,1,4,10000,2.293
TRA,4,0.0001,1,4,12000,2.28
TRA,4,0.0001,2,4,2000,2.224
TRA,4,0.0001,2,4,4000,2.13
TRA,4,0.0001,2,4,6000,2.019
TRA,4,0.0001,2,4,8000,1.952
TRA,4,0.0001,2,4,10000,1.904
TRA,4,0.0001,2,4,12000,1.829
TRA,4,0.0001,3,4,2000,1.76
TRA,4,0.0001,3,4,4000,1.729
TRA,4,0.0001,3,4,6000,1.711
TRA,4,0.0001,3,4,8000,1.685
TRA,4,0.0001,3,4,10000,1.648
TRA,4,0.0001,3,4,12000,1.618
TRA,4,0.0001,4,4,2000,1.602
TRA,4,0.0001,4,4,4000,1.579
TRA,4,0.0001,4,4,6000,1.549
TRA,4,0.0001,4,4,8000,1.54
TRA,4,0.0001,4,4,10000,1.516
TRA,4,0.0001,4,4,12000,1.517
TRA_TIM,4,0.0001,4,4,199.84,
TST,4,0.0001,4,4,45.32,4.09
TRA,4,0.0001,1,6,2000,2.305
TRA,4,0.0001,1,6,4000,2.302
TRA,4,0.0001,1,6,6000,2.3
TRA,4,0.0001,1,6,8000,2.298
TRA,4,0.0001,1,6,10000,2.295
TRA,4,0.0001,1,6,12000,2.287
TRA,4,0.0001,2,6,2000,2.253
TRA,4,0.0001,2,6,4000,2.174
TRA,4,0.0001,2,6,6000,2.065
TRA,4,0.0001,2,6,8000,1.965
TRA,4,0.0001,2,6,10000,1.886
TRA,4,0.0001,2,6,12000,1.836
TRA,4,0.0001,3,6,2000,1.772
TRA,4,0.0001,3,6,4000,1.744
TRA,4,0.0001,3,6,6000,1.704
TRA,4,0.0001,3,6,8000,1.682
TRA,4,0.0001,3,6,10000,1.654
TRA,4,0.0001,3,6,12000,1.642
TRA,4,0.0001,4,6,2000,1.614
TRA,4,0.0001,4,6,4000,1.59
TRA,4,0.0001,4,6,6000,1.569
TRA,4,0.0001,4,6,8000,1.55
TRA,4,0.0001,4,6,10000,1.549
TRA,4,0.0001,4,6,12000,1.519
TRA,4,0.0001,5,6,2000,1.498
TRA,4,0.0001,5,6,4000,1.486
TRA,4,0.0001,5,6,6000,1.471
TRA,4,0.0001,5,6,8000,1.48
TRA,4,0.0001,5,6,10000,1.452
TRA,4,0.0001,5,6,12000,1.446
TRA,4,0.0001,6,6,2000,1.43
TRA,4,0.0001,6,6,4000,1.416
TRA,4,0.0001,6,6,6000,1.402
TRA,4,0.0001,6,6,8000,1.391
TRA,4,0.0001,6,6,10000,1.376
TRA,4,0.0001,6,6,12000,1.382
TRA_TIM,4,0.0001,6,6,297.15,
TST,4,0.0001,6,6,51.13,5
TRA,4,0.00001,1,2,2000,2.303
TRA,4,0.00001,1,2,4000,2.305
TRA,4,0.00001,1,2,6000,2.304
TRA,4,0.00001,1,2,8000,2.305
TRA,4,0.00001,1,2,10000,2.304
TRA,4,0.00001,1,2,12000,2.303
TRA,4,0.00001,2,2,2000,2.303
TRA,4,0.00001,2,2,4000,2.304
TRA,4,0.00001,2,2,6000,2.303
TRA,4,0.00001,2,2,8000,2.303
TRA,4,0.00001,2,2,10000,2.303
TRA,4,0.00001,2,2,12000,2.303
TRA_TIM,4,0.00001,2,2,102.9,
TST,4,0.00001,2,2,11.65,3.15
TRA,4,0.00001,1,4,2000,2.305
TRA,4,0.00001,1,4,4000,2.305
TRA,4,0.00001,1,4,6000,2.304
TRA,4,0.00001,1,4,8000,2.304
TRA,4,0.00001,1,4,10000,2.304
TRA,4,0.00001,1,4,12000,2.304
TRA,4,0.00001,2,4,2000,2.305
TRA,4,0.00001,2,4,4000,2.303
TRA,4,0.00001,2,4,6000,2.303
TRA,4,0.00001,2,4,8000,2.304
TRA,4,0.00001,2,4,10000,2.302
TRA,4,0.00001,2,4,12000,2.302
TRA,4,0.00001,3,4,2000,2.301
TRA,4,0.00001,3,4,4000,2.302
TRA,4,0.00001,3,4,6000,2.301
TRA,4,0.00001,3,4,8000,2.301
TRA,4,0.00001,3,4,10000,2.302
TRA,4,0.00001,3,4,12000,2.301
TRA,4,0.00001,4,4,2000,2.301
TRA,4,0.00001,4,4,4000,2.3
TRA,4,0.00001,4,4,6000,2.3
TRA,4,0.00001,4,4,8000,2.298
TRA,4,0.00001,4,4,10000,2.299
TRA,4,0.00001,4,4,12000,2.298
TRA_TIM,4,0.00001,4,4,204.72,
TST,4,0.00001,4,4,11.75,4.41
TRA,4,0.00001,1,6,2000,2.305
TRA,4,0.00001,1,6,4000,2.304
TRA,4,0.00001,1,6,6000,2.303
TRA,4,0.00001,1,6,8000,2.304
TRA,4,0.00001,1,6,10000,2.303
TRA,4,0.00001,1,6,12000,2.304
TRA,4,0.00001,2,6,2000,2.303
TRA,4,0.00001,2,6,4000,2.303
TRA,4,0.00001,2,6,6000,2.303
TRA,4,0.00001,2,6,8000,2.302
TRA,4,0.00001,2,6,10000,2.302
TRA,4,0.00001,2,6,12000,2.302
TRA,4,0.00001,3,6,2000,2.303
TRA,4,0.00001,3,6,4000,2.302
TRA,4,0.00001,3,6,6000,2.302
TRA,4,0.00001,3,6,8000,2.301
TRA,4,0.00001,3,6,10000,2.301
TRA,4,0.00001,3,6,12000,2.3
TRA,4,0.00001,4,6,2000,2.301
TRA,4,0.00001,4,6,4000,2.3
TRA,4,0.00001,4,6,6000,2.3
TRA,4,0.00001,4,6,8000,2.3
TRA,4,0.00001,4,6,10000,2.3
TRA,4,0.00001,4,6,12000,2.3
TRA,4,0.00001,5,6,2000,2.299
TRA,4,0.00001,5,6,4000,2.299
TRA,4,0.00001,5,6,6000,2.299
TRA,4,0.00001,5,6,8000,2.298
TRA,4,0.00001,5,6,10000,2.298
TRA,4,0.00001,5,6,12000,2.298
TRA,4,0.00001,6,6,2000,2.297
TRA,4,0.00001,6,6,4000,2.297
TRA,4,0.00001,6,6,6000,2.297
TRA,4,0.00001,6,6,8000,2.296
TRA,4,0.00001,6,6,10000,2.296
TRA,4,0.00001,6,6,12000,2.295
TRA_TIM,4,0.00001,6,6,293.91,
TST,4,0.00001,6,6,15.28,3.52
TRA,10,0.1,1,2,800,2.325
TRA,10,0.1,1,2,1600,2.326
TRA,10,0.1,1,2,2400,2.325
TRA,10,0.1,1,2,3200,2.321
TRA,10,0.1,1,2,4000,2.324
TRA,10,0.1,1,2,4800,2.324
TRA,10,0.1,2,2,800,2.326
TRA,10,0.1,2,2,1600,2.323
TRA,10,0.1,2,2,2400,2.326
TRA,10,0.1,2,2,3200,2.324
TRA,10,0.1,2,2,4000,2.324
TRA,10,0.1,2,2,4800,2.327
TRA_TIM,10,0.1,2,2,41.82,
TST,10,0.1,2,2,10,2.64
TRA,10,0.1,1,4,800,2.325
TRA,10,0.1,1,4,1600,2.323
TRA,10,0.1,1,4,2400,2.324
TRA,10,0.1,1,4,3200,2.325
TRA,10,0.1,1,4,4000,2.326
TRA,10,0.1,1,4,4800,2.327
TRA,10,0.1,2,4,800,2.325
TRA,10,0.1,2,4,1600,2.325
TRA,10,0.1,2,4,2400,2.327
TRA,10,0.1,2,4,3200,2.325
TRA,10,0.1,2,4,4000,2.326
TRA,10,0.1,2,4,4800,2.325
TRA,10,0.1,3,4,800,2.323
TRA,10,0.1,3,4,1600,2.329
TRA,10,0.1,3,4,2400,2.323
TRA,10,0.1,3,4,3200,2.327
TRA,10,0.1,3,4,4000,2.323
TRA,10,0.1,3,4,4800,2.323
TRA,10,0.1,4,4,800,2.329
TRA,10,0.1,4,4,1600,2.325
TRA,10,0.1,4,4,2400,2.328
TRA,10,0.1,4,4,3200,2.327
TRA,10,0.1,4,4,4000,2.322
TRA,10,0.1,4,4,4800,2.328
TRA_TIM,10,0.1,4,4,80.71,
TST,10,0.1,4,4,10,2.17
