Array size,Block size,Parallel reduction BW,Sequential reduction BW
8192,32,0.966323,1092.27
8192,32,0.953362,1092.27
8192,32,0.946505,1092.27
8192,32,0.958689,1638.4
8192,32,0.944323,1092.27
8192,32,0.958129,1638.4
8192,32,0.93303,1638.4
128,128,0.0152155,17.0667
128,128,0.0148617,25.6
128,128,0.0151524,17.0667
128,128,0.0148316,17.0667
128,128,0.0148445,17.0667
128,128,0.0149006,17.0667
128,128,0.0151028,17.0667
128,128,0.0149795,17.0667
128,128,0.0150628,17.0667
128,128,0.0151794,25.6
256,128,0.0307406,51.2
256,128,0.0303228,34.1333
256,128,0.0308517,51.2
256,128,0.0302056,34.1333
256,128,0.0295177,34.1333
256,128,0.0302511,34.1333
256,128,0.0305034,34.1333
256,128,0.0261085,34.1333
256,128,0.0300381,34.1333
256,128,0.03044,51.2
512,128,0.0585812,102.4
512,128,0.0598988,68.2667
512,128,0.0604665,68.2667
512,128,0.060269,102.4
512,128,0.0606635,102.4
512,128,0.0592079,68.2667
512,128,0.0498042,68.2667
512,128,0.0506054,68.2667
512,128,0.0599181,102.4
512,128,0.0519257,51.2
1024,128,0.120188,136.533
1024,128,0.140756,136.533
1024,128,0.0827809,68.2667
1024,128,0.118931,136.533
1024,128,0.119977,136.533
1024,128,0.118859,136.533
1024,128,0.119521,136.533
1024,128,0.120969,136.533
1024,128,0.120858,136.533
1024,128,0.120294,136.533
2048,128,0.235809,273.067
2048,128,0.241509,273.067
2048,128,0.248242,273.067
2048,128,0.234997,273.067
2048,128,0.24251,273.067
2048,128,0.244238,273.067
2048,128,0.239113,273.067
2048,128,0.241438,273.067
2048,128,0.237037,273.067
2048,128,0.238549,273.067
4096,128,0.483446,546.133
4096,128,0.490833,546.133
4096,128,0.471346,819.2
4096,128,0.485452,546.133
4096,128,0.416144,819.2
4096,128,0.485884,546.133
4096,128,0.488929,546.133
4096,128,0.478086,546.133
4096,128,0.482877,819.2
4096,128,0.484018,819.2
8192,128,0.706953,1638.4
8192,128,0.977245,1638.4
8192,128,0.9509,1092.27
8192,128,0.958129,1638.4
8192,128,0.946232,1638.4
8192,128,0.943779,1638.4
8192,128,0.962632,1638.4
8192,128,0.954223,1092.27
8192,128,0.942964,1638.4
8192,128,0.974078,1092.27
256,256,0.0296554,51.2
256,256,0.0300196,34.1333
256,256,0.0297156,51.2
256,256,0.0303048,51.2
256,256,0.0294507,34.1333
256,256,0.0288288,51.2
256,256,0.029959,51.2
256,256,0.0294846,51.2
256,256,0.0301176,34.1333
256,256,0.0296803,51.2
512,256,0.0606258,68.2667
512,256,0.0539785,68.2667
512,256,0.0609687,102.4
512,256,0.0607337,102.4
512,256,0.0514302,51.2
512,256,0.0605559,102.4
512,256,0.0602707,102.4
512,256,0.0612972,102.4
512,256,0.0608419,102.4
512,256,0.0605899,68.2667
1024,256,0.116962,204.8
1024,256,0.10393,136.533
1024,256,0.119938,136.533
1024,256,0.119763,136.533
1024,256,0.121539,204.8
1024,256,0.119836,204.8
1024,256,0.12176,204.8
1024,256,0.115377,204.8
1024,256,0.117465,204.8
1024,256,0.118931,204.8
2048,256,0.239043,273.067
2048,256,0.23814,273.067
2048,256,0.24058,409.6
2048,256,0.242719,409.6
2048,256,0.24251,273.067
2048,256,0.243368,273.067
2048,256,0.235599,273.067
2048,256,0.239742,409.6
2048,256,0.24251,273.067
2048,256,0.243447,273.067
4096,256,0.483446,546.133
4096,256,0.484161,819.2
4096,256,0.483718,546.133
4096,256,0.425558,546.133
4096,256,0.476418,819.2
4096,256,0.484161,546.133
4096,256,0.480314,819.2
4096,256,0.465441,819.2
4096,256,0.48515,546.133
4096,256,0.485884,546.133
8192,256,0.939989,1092.27
8192,256,0.896746,1092.27
8192,256,0.976081,1638.4
8192,256,0.962915,1638.4
8192,256,0.950348,1092.27
8192,256,0.951176,1092.27
8192,256,0.960094,1638.4
8192,256,0.954751,1092.27
8192,256,0.740018,1092.27
8192,256,0.96715,1638.4
1024,1024,0.120258,204.8
1024,1024,0.121037,136.533
1024,1024,0.119556,136.533
1024,1024,0.119413,136.533
1024,1024,0.120396,204.8
1024,1024,0.122119,204.8
1024,1024,0.11869,136.533
1024,1024,0.119417,136.533
1024,1024,0.103434,204.8
1024,1024,0.120929,136.533
2048,1024,0.243368,273.067
2048,1024,0.24208,273.067
2048,1024,0.243368,409.6
2048,1024,0.240792,273.067
2048,1024,0.237374,273.067
2048,1024,0.244246,409.6
2048,1024,0.226423,273.067
2048,1024,0.242654,273.067
2048,1024,0.239672,409.6
2048,1024,0.23814,409.6
4096,1024,0.478211,546.133
4096,1024,0.490084,819.2
4096,1024,0.489075,819.2
4096,1024,0.487459,819.2
4096,1024,0.485308,546.133
4096,1024,0.478072,546.133
4096,1024,0.48329,819.2
4096,1024,0.472012,819.2
4096,1024,0.478924,819.2
4096,1024,0.479892,819.2
8192,1024,0.962915,1092.27
8192,1024,0.955307,1638.4
8192,1024,0.980461,1638.4
8192,1024,0.971191,1638.4
8192,1024,0.962632,1638.4
8192,1024,0.958381,1638.4
8192,1024,0.966038,1638.4
8192,1024,0.943752,1638.4
8192,1024,0.934093,1638.4
8192,1024,0.965156,1092.27
